编号,对应资源编号,位置,缩放
number,number,string,string
ID,name,position,scale
1,1012,"0,0,0","1,1,1"
2,1001,"0,0,-2.5","1,1,3"
3,1007,"0,0,-5.5","1,1,1"
4,1002,"0,0,-8.5","1,1,1"
5,1003,"0,0,-15.5","1,1,1"
6,1007,"0,0,-22.5","1,1,1"
7,1001,"0,0,-25.5","1,1,3"
8,1007,"0,0,-28.5","1,1,1"
9,1004,"0,0,-31.5","1,1,1"
10,1005,"0,0,-37.5","1,1,2"
11,1006,"0,0,-39.5","1,1,1"
12,1007,"0,0,-45.5","1,1,1"
13,1001,"0,0,-48.5","1,1,3"
14,1007,"0,0,-51.5","1,1,1"
15,1008,"0,0,-54.5","1,1,1"
16,1009,"0,0,-60.5","1,1,2"
17,1010,"0,0,-62.5","1,1,1"
18,1007,"0,0,-68.5","1,1,1"
19,1001,"0,0,-71.5","1,1,9"
20,1007,"0,0,-80.5","1,1,1"
21,1001,"0,0,-83.5","1,1,6"
22,1011,"0,0,-89.5","1,1,1"
23,1101,"0,1,-7",
24,2002,"0,1,-24",
25,4001,"0,1,-30",
26,2001,"0,1,-47",
27,9001,"0,1.026,-53",
28,2003,"0,1,-70",
29,1201,"0,1.02,-82",
30,3001,"-0.32,1,-2.85",
31,3001,"-0.32,1,-3.55",
32,3001,"-0.32,1,-4.25",
33,3001,"-0.32,1,-4.95",
34,3001,"-0.32,1,-5.65",
35,3002,"0,1,-2.85",
36,3002,"0,1,-3.55",
37,3002,"0,1,-4.25",
38,3002,"0,1,-4.95",
39,3002,"0,1,-5.65",
40,3003,"0.32,1,-2.85",
41,3003,"0.32,1,-3.55",
42,3003,"0.32,1,-4.25",
43,3003,"0.32,1,-4.95",
44,3003,"0.32,1,-5.65",
45,3002,"-0.32,1.008,-9",
46,3002,"-0.32,1.075,-10",
47,3002,"-0.32,1.167,-11",
48,3002,"-0.32,1.263,-12",
49,3001,"0,1.008,-9",
50,3001,"0,1.075,-10",
51,3001,"0,1.167,-11",
52,3001,"0,1.263,-12",
53,3003,"0.32,1.008,-9",
54,3003,"0.32,1.075,-10",
55,3003,"0.32,1.167,-11",
56,3003,"0.32,1.263,-12",
57,3002,"-0.32,1.427,-14",
58,3002,"-0.32,1.485,-15",
59,3002,"-0.32,1.485,-16",
60,3002,"-0.32,1.425,-17",
61,3003,"0,1.427,-14",
62,3003,"0,1.485,-15",
63,3003,"0,1.485,-16",
64,3003,"0,1.425,-17",
65,3001,"0.32,1.427,-14",
66,3001,"0.32,1.485,-15",
67,3001,"0.32,1.485,-16",
68,3001,"0.32,1.425,-17",
69,3001,"-0.32,1.265,-19",
70,3001,"-0.32,1.172,-20",
71,3001,"-0.32,1.076,-21",
72,3001,"-0.32,1.01,-22",
